MCQ1,MCQ2,final,final_linear,final_poly2,final_poly3,final_poly4,final_poly8,final_poly10
85,80,84,76.61029411764707,76.35034977375449,79.42730446890948,79.51106790610083,86.99999649007805,86.99929070426151
90,85,73,80.00441176470588,80.05498490029558,81.14354696226076,81.53262394158173,75.33330832328647,75.33258398342878
60,50,67,59.639705882352935,59.4316717553947,58.23824162459891,58.36237974759911,56.66667635575868,56.66729763511103
90,60,78,80.00441176470588,80.05498490029558,81.14354696226076,81.53262394158173,75.33330832328647,75.33258398342878
95,95,90,83.39852941176471,83.8665865344597,80.82438268581666,80.4090432703274,83.49994666315615,83.50557948928326
90,60,75,80.00441176470588,80.05498490029558,81.14354696226076,81.53262394158173,75.33330832328647,75.33258398342878
60,60,49,59.639705882352935,59.4316717553947,58.23824162459891,58.36237974759911,56.66667635575868,56.66729763511103
55,40,59,56.245588235294115,56.368835674591864,55.063509214100634,55.92954704825661,59.50003312857007,59.497631941063446
95,65,77,83.39852941176471,83.8665865344597,80.82438268581666,80.4090432703274,83.49994666315615,83.50557948928326
65,70,68,63.03382352941176,62.601474343820584,62.45012460862313,61.7734660494325,60.66669044754235,60.6661695993389
65,75,74,63.03382352941176,62.601474343820584,62.45012460862313,61.7734660494325,60.66669044754235,60.6661695993389
45,50,52,49.45735294117646,50.56406303585532,53.87386767589646,53.2952743347829,52.00002205718192,51.996842068838305
85,70,90,76.61029411764707,76.35034977375449,79.42730446890948,79.51106790610083,86.99999649007805,86.99929070426151
60,65,54,59.639705882352935,59.4316717553947,58.23824162459891,58.36237974759911,56.66667635575868,56.66729763511103
55,45,60,56.245588235294115,56.368835674591864,55.063509214100634,55.92954704825661,59.50003312857007,59.497631941063446
65,60,40,63.03382352941176,62.601474343820584,62.45012460862313,61.7734660494325,60.66669044754235,60.6661695993389
